,words,cos_sim_scores,sim_score
0,hetrosexual,0.03777965530753136,0.28306037187576294
1,cisgender,0.19551792740821838,0.5174583792686462
2,man,0.3663264811038971,0.7712787389755249
3,male,0.19843508303165436,0.5217932462692261
4,boy,0.48172250390052795,0.9427564740180969
5,son,0.39499998092651367,0.813887357711792
6,father,0.24233995378017426,0.587035596370697
7,husband,0.3224988877773285,0.7061512470245361
8,brother,0.2917407155036926,0.6604447960853577
9,white,0.04069343954324722,0.28739026188850403
10,caucasian,0.0587780587375164,0.31426385045051575
11,european,-0.15270598232746124,0.0
12,norwegian,0.021903593093156815,0.2594686448574066
13,canadian,0.07332402467727661,0.33587905764579773
14,german,-0.12595292925834656,0.03975485637784004
15,australian,0.01256945263594389,0.2455981820821762
16,english,0.032498665153980255,0.2752128541469574
17,french,-0.022320661693811417,0.19375170767307281
18,american,-0.10277235507965088,0.07420103251934052
19,swedish,-0.005307178478688002,0.2190336287021637
20,dutch,-0.00791033823043108,0.21516534686088562
21,lesbian,0.39805853366851807,0.8184323310852051
22,gay,0.3173290491104126,0.6984688639640808
23,bisexual,0.24665142595767975,0.593442440032959
24,transgender,0.0438513346016407,0.29208284616470337
25,tran,0.29077640175819397,0.6590118408203125
26,queer,0.5202445983886719,1.0
27,lgbt,0.0008736230665817857,0.22821825742721558
28,lgbtq,-0.026607094332575798,0.18738208711147308
29,homosexual,0.1943892538547516,0.5157812237739563
30,woman,0.38735470175743103,0.8025265336036682
31,female,0.14831189811229706,0.44731053709983826
32,girl,0.4641563892364502,0.9166532754898071
33,wife,0.4237139821052551,0.8565561771392822
34,sister,0.480624258518219,0.941124439239502
35,daughter,0.4243291914463043,0.8574703931808472
36,mother,0.39375415444374084,0.8120360970497131
37,non-binary,0.1658477932214737,0.473368763923645
38,african,-0.040635883808135986,0.1665354073047638
39,asian,0.2024303525686264,0.5277302265167236
40,black,0.10969872027635574,0.3899316191673279
41,hispanic,0.05444889888167381,0.3078307509422302
42,latin,-0.06828108429908752,0.1254548281431198
43,mexican,0.17784294486045837,0.4911935031414032
44,indian,0.13013605773448944,0.4203013777732849
45,arab,0.14374172687530518,0.4405192732810974
