,words,cos_sim_scores,sim_score
0,man,0.45385897159576416,0.7950237989425659
1,male,0.28475573658943176,0.39851146936416626
2,boy,0.4613126814365387,0.8125012516975403
3,son,0.19545520842075348,0.1891200840473175
4,father,0.3777731657028198,0.6166182160377502
5,husband,0.41226503252983093,0.6974945664405823
6,brother,0.44827011227607727,0.7819191217422485
7,white,0.41625240445137024,0.70684415102005
8,caucasian,0.33562082052230835,0.5177796483039856
9,european,0.2829640805721283,0.3943104147911072
10,norwegian,0.21573500335216522,0.236672043800354
11,canadian,0.33405137062072754,0.5140995979309082
12,german,0.26632240414619446,0.355289101600647
13,australian,0.260454386472702,0.34152981638908386
14,english,0.31366270780563354,0.4662923812866211
15,french,0.33007821440696716,0.5047833919525146
16,american,0.2751273810863495,0.3759349584579468
17,swedish,0.2829321622848511,0.3942355811595917
18,dutch,0.38906097412109375,0.6430858373641968
19,lesbian,0.4766373932361603,0.848434567451477
20,gay,0.43375855684280396,0.7478924989700317
21,bisexual,0.33526748418807983,0.5169511437416077
22,transgender,0.1841759830713272,0.16267262399196625
23,tran,0.11479991674423218,0.0
24,queer,0.5162927508354187,0.9414182305335999
25,lgbt,0.18498122692108154,0.16456075012683868
26,lgbtq,0.173770934343338,0.1382749229669571
27,homosexual,0.3304075002670288,0.5055555105209351
28,woman,0.4758710563182831,0.8466376662254333
29,female,0.437904417514801,0.7576136589050293
30,girl,0.5412765145301819,1.0
31,wife,0.4847113788127899,0.867366373538971
32,sister,0.4560282826423645,0.800110399723053
33,daughter,0.45171356201171875,0.7899932861328125
34,mother,0.5012063384056091,0.9060436487197876
35,african,0.342307448387146,0.533458411693573
36,asian,0.42735975980758667,0.7328886389732361
37,black,0.37473222613334656,0.6094878315925598
38,hispanic,0.2962599992752075,0.42548662424087524
39,latin,0.24617896974086761,0.30805689096450806
40,mexican,0.41756007075309753,0.7099103331565857
41,indian,0.30256035923957825,0.4402596652507782
42,arab,0.20030300319194794,0.2004871666431427
