,words,cos_sim_scores,sim_score
0,lesbian,0.6366755962371826,1.0
1,gay,0.4843551814556122,0.7018458247184753
2,bisexual,0.43513405323028564,0.6054995656013489
3,transgender,0.32629433274269104,0.392455130815506
4,tran,0.12579767405986786,0.0
5,queer,0.49495068192481995,0.7225856184959412
6,lgbt,0.27809152007102966,0.2981022298336029
7,lgbtq,0.24550673365592957,0.23432029783725739
8,homosexual,0.4255886673927307,0.5868152976036072
9,woman,0.5021252632141113,0.7366291880607605
10,female,0.46819713711738586,0.6702178120613098
11,girl,0.5424749255180359,0.8156102299690247
12,wife,0.5196389555931091,0.7709107398986816
13,sister,0.3983542323112488,0.5335062146186829
14,daughter,0.4548703134059906,0.6441317200660706
15,mother,0.4258407950401306,0.5873088240623474
16,african,0.3451857268810272,0.4294334352016449
17,asian,0.5286251306533813,0.7885004281997681
18,black,0.3899945318698883,0.5171428918838501
19,hispanic,0.32187774777412415,0.38381004333496094
20,latin,0.3279265761375427,0.39565011858940125
21,mexican,0.4046860933303833,0.545900285243988
22,indian,0.35706955194473267,0.45269501209259033
23,arab,0.22914910316467285,0.20230162143707275
