,words,cos_sim_scores,sim_score
0,hetrosexual,0.4903656244277954,0.6622676849365234
1,cisgender,0.40536004304885864,0.42224007844924927
2,man,0.40626364946365356,0.4247915744781494
3,male,0.38786211609840393,0.3728317320346832
4,boy,0.4239705502986908,0.47478997707366943
5,son,0.2830466330051422,0.07686752825975418
6,father,0.2558240592479706,0.0
7,husband,0.30085062980651855,0.1271401196718216
8,brother,0.2669932544231415,0.03153810650110245
9,white,0.3295254111289978,0.20810820162296295
10,caucasian,0.41105374693870544,0.438317209482193
11,european,0.3998035788536072,0.40655046701431274
12,norwegian,0.3402077555656433,0.23827160894870758
13,canadian,0.3472893536090851,0.25826770067214966
14,german,0.3919122517108917,0.38426798582077026
15,australian,0.37676674127578735,0.3415020704269409
16,english,0.328940749168396,0.20645731687545776
17,french,0.3654644191265106,0.3095880448818207
18,american,0.37542226910591125,0.33770573139190674
19,swedish,0.3455474078655243,0.2533490061759949
20,dutch,0.3808274269104004,0.35296809673309326
21,lesbian,0.6099732518196106,1.0
22,gay,0.5173447132110596,0.7384476661682129
23,bisexual,0.5239522457122803,0.7571051716804504
24,transgender,0.38965609669685364,0.37789735198020935
25,tran,0.3150859475135803,0.16733594238758087
26,queer,0.46893444657325745,0.6017531156539917
27,lgbt,0.36190253496170044,0.2995304763317108
28,lgbtq,0.3324207067489624,0.21628355979919434
29,homosexual,0.5193987488746643,0.7442476153373718
30,woman,0.4048778712749481,0.4208785891532898
31,female,0.3812181353569031,0.35407131910324097
32,girl,0.5011173486709595,0.6926270127296448
33,wife,0.35839125514030457,0.28961578011512756
34,sister,0.2659241855144501,0.028519410640001297
35,daughter,0.2796518802642822,0.06728187203407288
36,mother,0.3054353594779968,0.1400858759880066
37,non-binary,0.3018255829811096,0.12989306449890137
38,african,0.4256915748119354,0.4796496033668518
39,asian,0.5046915411949158,0.7027193307876587
40,black,0.35105159878730774,0.26889103651046753
41,hispanic,0.4035896062850952,0.4172409474849701
42,latin,0.46463871002197266,0.5896233916282654
43,mexican,0.4241521954536438,0.47530290484428406
44,indian,0.3915720283985138,0.3833073079586029
45,arab,0.4809589087963104,0.6357062458992004
