,words,sim_score
0,and,0.7548019886016846
1,but,0.8538193702697754
2,as,0.10489638149738312
3,until,0.5400845408439636
4,while,0.7792838215827942
5,of,0.4751354455947876
6,at,0.18432462215423584
7,by,0.0
8,for,0.4320254325866699
9,with,0.7089714407920837
10,about,0.8042764663696289
11,against,0.14629478752613068
12,between,0.4362301528453827
13,into,0.6688472032546997
14,through,0.4919689893722534
15,during,0.28496208786964417
16,before,0.6698415279388428
17,after,0.5036869049072266
18,time,0.34194013476371765
19,year,0.3667861223220825
20,people,0.786268949508667
21,day,0.4014695882797241
22,child,0.3952556848526001
23,work,0.6856826543807983
24,life,0.5514347553253174
25,thing,1.0
26,world,0.1456400752067566
27,way,0.6974826455116272
28,back,0.2617306113243103
