,words,cos_sim_scores,sim_score
0,lesbian,0.4841711223125458,0.8768577575683594
1,gay,0.5079671144485474,0.9682612419128418
2,bisexual,0.44712865352630615,0.7345728278160095
3,transgender,0.3916684687137604,0.5215430855751038
4,tran,0.255889892578125,0.0
5,queer,0.437377005815506,0.6971154808998108
6,lgbt,0.3390698730945587,0.31950506567955017
7,lgbtq,0.32285165786743164,0.25720879435539246
8,homosexual,0.5162299871444702,1.0
9,woman,0.4896211326122284,0.8977919220924377
10,female,0.4982892572879791,0.93108731508255
11,girl,0.3785819113254547,0.4712759256362915
12,wife,0.3614136278629303,0.4053303301334381
13,sister,0.3469443619251251,0.3497520089149475
14,daughter,0.30320513248443604,0.18174396455287933
15,mother,0.34232866764068604,0.3320225179195404
16,non-binary,0.3734266459941864,0.4514738917350769
17,african,0.3350842595100403,0.3041958212852478
18,asian,0.3758380711078644,0.460736483335495
19,black,0.38274064660072327,0.4872501790523529
20,hispanic,0.3118639290332794,0.21500352025032043
21,latin,0.28760313987731934,0.12181469053030014
22,mexican,0.37283310294151306,0.4491940140724182
23,indian,0.2898201644420624,0.13033056259155273
24,arab,0.2805327773094177,0.09465651214122772
